name,region,drainage,pages,info
Christmas Meadows/Stillwater,main,Bear River Drainage,"42,182,183,184","Chapter 2: THE WILDERNESS AREA--North Slope

Section 3:

The CHRISTMAS MEADOWS/STILLWATER TRAILHEAD HOW TO GET HERE: From Kamas to Christmas Meadows = 47 miles, then 4 miles to Trailhead TOTAL= 51 miles from Kamas, 91 from SLC. From Evanston, Wyoming, 30 miles to No. Slope Rd, plus 3 to turn-off and 4 to Trailhead, Total of 37 miles.

Forty-seven miles from Kamas, or 12.5 miles from the Highline Trailhead at Hayden Pass we come to a junction where we turn to the southeast on the road that takes us 4 miles to what we have always called the Christmas Meadows Trailhead, as do all my maps, but the sign calling it the Stillwater Trailhead."
Crow Basin (Canyon),main,Dry Gulch Drainage,"122,308","Chapter 2: THE WILDERNESS AREA – South Slope

Section 17: The DRY GULCH DRAINAGE ******************

PREFACE My Struggle to get to Crow Canyon & SURVIVING A FALL & LIGHTNING AT JACKSON PARK Back in 2011, in my zeal to explore and photograph all of the Uintas, I discovered on my NG Wilderness Map what the DWR described as ""the smallest drainage on the South Slope ……divided into two main basins: Heller and Crow."" 118 The CROW BASIN, ""long and narrow with steep side walls,"" like a box canyon, and basically without marked trails, attracted me most, and in that year I did my first explorations at a time when I was beginning to have a difficult time….actually becoming a cripple, that led in 2012 to my first back surgery fusing vertebras and trying to solve a pinched nerve problem. So 2012 became a year when I was not able to backpack. But my attempts in 2011 did result in one YouTube video about Crow Basin, entitled, ""SAW IT, SURVIVED IT""119 but did not tell the whole story. What did come out of that effort was that one of my High Uinta Friends, Jonathan Jaussi, flew over the area and took aerial photographs and shared them with me. They ended up being a great help to me finally getting down into Crow Canyon in 2013, after sort of recovering from my back surgery. That resulted in my 2nd YouTube video, 120 done during Utah's PIONEER DAY CELEBRATION, my trip honoring my great grandmother, Alice Brooks, survivor of the Martin Handcart Company ordeal.

118"
Crystal Lake & Bald Mt,western,Provo River Drainage,"426,431","Chapter 3: THE WESTERN UINTAS

Section 3:

THE CRYSTAL LAKE & BALD MT. TRAILHEADS HOW TO GET HERE: For Crystal Lake TH about 26 miles from Kamas you come to a big bend in the Mirror Lake Scenic Byway and see this sign, where you leave the highway and follow the paved road northwest to the Crystal Lake Trailhead, a TOTAL of about 26 miles from Kamas, 75 from Provo, and 69 from Salt Lake. The Spring Canyon/Trial Lake Road, comes out at this same junction.

As we can see in the trailhead parking lot, it is a very popular beginning point for hikes and backpacks. Literally thousands of nature lovers use this trailhead each summer, so it's a small percentage that have problems--but that's no excuse to not take seriously the dangers, and ignore the rules--that will make everybody's experience a fun, safe and inspirational one. So before launching ourselves into the Uintas, let's look at the advice given us by the Forest Service at the trailhead. On the next page we'll zoom in on the advice & the rules given us by the Forest Service. 431"
Dry Canyon & Fish Lake Trail,western,Weber River Drainage,"472,473","ABES (W-30): You get to the lake by following the Middle Fork Trail south from Holiday Park about 2.5 miles to the junction with the Abes Lake Trail and continue one steep mile east to the lake located at 9,820 ft. elevation, 21.6 acres, 62' deep, with a dam so it fluctuates 7 ft. annually, no feed for horses, has Cutthroat and Tiger trout with heavy fishing pressure.

ADAX (W-34): It is a scenic lake at the foot of steep ledges and surrounded by dense conifers. It is accessed by following the Middle Fork Trail south from Holiday Park 2.5 miles and then one steep mile west on an indistinct trail. Another way to get to the lake is 1.5 miles east of Olsen Lake over the pass--no trail. Either way it is difficult to locate in steep, rocky terrain, horse feed is available. Fishing pressure is light for small wild brook trout.

LAKE W-59: It is a natural lake located 1/2 mile southwest of Adax Lake in the Middle Fork Drainage. It can also be accessed from over the ridge from Gardner's Fork but the terrain is of bedrock shelves and scattered conifers and is extremely rough with no trails, horse access is difficult. Located at 10,140 ft. elevation, 4 acres, 10' deep, with a small population of self-sustaining wild brook trout, very light fishing pressure."
Dry Gulch Creek,main,Dry Gulch Drainage,"121,316,317,318","THE HELLER BASIN HOW TO GET HERE: Follow instructions to Crow Canyon access road FR-120. From there, on FR-119, go east 3 miles to the Dry Gulch Road--FR-122, and drive 4 tough miles to gate, which some maps say is a Trailhead. See Chapter 1, pages 120, 121.

HELLER LAKE/RESERVOIR (DG-28): Accessed 2 miles following the jeep road from the gate, 10,108 ft. elevation, 12 acres, 37' deep, horse friendly but no feed available, pan-sized Brook trout, heavy usage. LAKE DG-30: No fish life LAKE DG-29: Is a small beaver pond accessed from Heller Lake, 1/4 mile northwest to a long park followed 1/2 mile then east 1/8th mile, horse friendly, not managed by DWR for fish. HIDDEN LAKE DG-27: At the head of the Heller Basin, accessed 2 miles north-northeast on a poorly marked trail from Heller Lake. 9,520 ft. elevation, 10 acres, 39' deep. Fair population of healthy Brook trout.

LILY PAD LAKES Upper DG-25: Beautiful meadow lake surrounded by conifers, accessed 2 miles cross country northwest of Heller Lake, or 7.5 miles via the Dry Gulch Rd. and pack trail over Flat Top Mountain. Horse friendly, 10,280 ft. elevation 12 acres, 37' deep, small population of healthy Brook and Cutthroat trout. Heavy pressure. Lower DG-26: Meadow lake covered with aquatic vegetation, access from Upper Lily Pad Lake, then 1/8th mile due east. 10,275 ft. elevation, 9 acres, 11 ' deep, Brook trout, light pressure."
East Fk. Blacks Fk,main,Blacks Fork Drainage,"65,66,208,209,216,217,218,219,220,221,222,223","Chapter 2: THE WILDERNESS AREA--North Slope

Section 7: The EAST FORK OF BLACKS FORK HOW TO GET HERE: From SLC 40 miles, to Kamas, 50 miles on UT-150 to the North Fork Road (FR058), then east 20 miles to the junction with FR-065, then 6 miles south to the Trailhead. TOTAL FROM Kamas = 76 miles, from SLC=116 miles. From Evanston, Wyo., east on I-80 to Ft. Bridger, east and south to Mt. View--total of 45 miles, then 9 miles on CR-410 to Robertson and end of pavement, turning south on CR-271 to Ut. border, then on FR058 to junction (24 miles from Robertson) with E. Fk. Blacks Fk. road, FR-065, then 6 miles to Trailhead. Total via Evanston=84 miles. From SLC 80 to Evanston + 84 to TH, TOTAL OF 164.

We will begin our description of the East Fork of Blacks Fork, with two small lakes, DUCK (G-37), and G-86, out of the Wilderness Area, mentioned in the 1985 DWR pamphlet, both of which were experimentally stocked in 1985--that wasn’t successful with no further stockings.

THE CACHE TRAILHEAD This is basically a crossing of the road by what I call the North Slope [or Side]Highline Trail--the Forest Service usually call it, The Bear River-Smiths Fork Trail It is located 5 miles south of the junction of FR-058 and FR-065, and one mile short of the Trailhead.

The EAST FORK OF BLACKS FORK TRAILHEAD"
East Fk. of Smiths Fk,main,Smiths Fork Drainage,"236,243,244,245,246,247,248,249,250","CHAPTER 2: THE HIGH UINTAS WILDERNESS AREA--North Slope

Section 10: The EAST FORK OF SMITHS FORK

HOW TO GET HERE: From Kamas to North Slope Rd., 50 miles, then on FR-058 21 miles to FR-073 and continue 13.5 miles to China Meadows, TOTAL 81 miles from Kamas--121 from SLC. From Mt. View, Wyo. 6-7 miles on CR-410 towards Robertson, then go south on CR-283, for 7 miles to a fork and turn right on FR-072 and follow signs about 15 miles to China Meadows. Total= 29 miles from Mt. View--74 from Evanston, and 154 from SLC.

This area of the High Uintas has to be considered the most stunning area in the entire Uinta Range. We have already seen it in a BIG LOOP hike from the East Fork of Blacks Fork Trailhead in Section 7, returning to that Trailhead by way of the Bald Mountain Trail from the Red Castle Area. From this Trailhead, we will also introduce another LOOP by way of Kings Peak and the Henrys Fork Basin, and back to this Trailhead. But we'll begin with Option 1, a simple hike just in the Red Castle Area, seen below in a stunning view of Red Castle Peak with Lower Red Castle Lake in the foreground. Then details of the all the lakes.

OPTION #1: From TH to first bridge, 1.7 miles, then at 3.7 miles the No. Slope Highline Trail going east, with a possible side trip of 1.6 miles to the Hessie Lake area, but back to 243"
East Fork of Bear River,main,Bear River Drainage,"61,192","The EAST FORK OF BEAR RIVER TRAILHEAD Four lakes are accessed from this trailhead: Off trail Lake Lorena just outside of the Wilderness Area, then a little further along the stream divides: The Right Hand Fork leading to Norice and Priord Lakes; The Left Hand Fork leading to Allsop Lake. Now the details: LAKE LORENA (BR-46): 10,580 ft. elevation, 12 acres, 20' deep, stocked Brook trout. From TH hike 2.3 miles to where there are many tie hacker ruins, cross the stream, and make a very steep hike 1.8 miles up the steep mountain to the lake. It is not recommended for horses. Solitude is the name of the game.

NOTE: There is a YouTube video of my attempt in 2013 to get to Lake Lorena. 78 I was very interested in getting to the lake in part because of its remoteness, but also because I had heard from a Division of Wildlife Resources employee that they had gill netted a brook trout there that was very large and twice as old as the average brook trout for an alpine lake. At 3.8 miles from the TH you come to a sign pointing straight ahead to Allsop Lake, and to the right, crossing the stream, to Priord Lake which we'll study first. TOPO MAP FOR Lake Lorena & TO DIVIDING OF STREAM

78

Lake Lorena: https://www.youtube.com/watch?v=iVtncReSK0c"
Fehr Lake Trailhead,western,Duchesne River Drainage,444,"NOW FOR THE FEHR LAKE TRAILHEAD, between the Bald Mountain Pass and Mirror Lake, where we will pick up also Marshall Lake from the Murdock Basin.

FEHR (Z-7): This is a natural meadow lake in thick timber at the foot of Murdock Mountain, at 10,260 ft. elevation, 5.7 acres, 27' deep, with a large population of brook trout, under heavy pressure as it is a popular lake.

SHEPARD (Z-9): It is a natural lake surrounded by confers, located 1 mile from the Fehr Lake Trailhead, at 9,980 ft. elevation, 14.2 acres, 32' deep, horse feed is restricted, it has a small population of brook, cutthroat and rainbow trout, with heavy fishing pressure.

MABA (Z-8): Located at the head of Murdock Basin, east of Shepard Lake, and 50 yard north of Hoover Lake, 75 yards west of the Murdock Basin Road, is a natural lake at 9,900 ft. elevation, 4.2 acres, 20' deep with a small population of brook trout, with heavy fishing pressure.

HOOVER (Z-10): This natural lake is surrounded by conifers with some open shoreline, 1.5 miles from the Fehr Lake Trailhead, 50 yards south of Maba Lake, 8 miles northeast of U-150 on the Murdock Basin Road to the Hoover Lake turnoff, the lake found 100 yards northwest of this point. Has brook and cutthroat trout with heavy fishing pressure."
Gardner Fork Trailhead,western,Weber River Drainage,471,"Chapter 3: THE WESTERN UINTAS

SECTION 8: THE MIDDLE & MAIN FORKS of the WEBER RIVER DRAINAGE THE GARDNER FORK, HOLIDAY PARK, & DRY FORK TRAILHEADS HOW TO GET HERE: From Kamas, Utah--40 miles east of Salt Lake City, drive north 6 miles on UT32 to Oakley, then at an intersection in the middle of the town, turn east towards SMITH & MOREHOUSE & WEBER CANYON. then at a junction 11 miles up the canyon where you see the sign inserted below, continue east to the Gardner's Trailhead. From the Ledgefork Trailhead, return to the pavement turn right or east and continue to the Gardner's Fork Trailhead……9 miles from that junction."
Grandview,main,Rock Creek Drainage,"142,143,386,387,388,389,390,391,392,393,394,395,612,613","Chapter 2: THE WILDERNESS AREA—South Slope

Section 22: THE GRANDVIEW TRAILHEAD--GATEWAY to the GRANDADDY PORTION OF THE ROCK CREEK DRAINAGE HOW TO GET HERE: From the American Fork Utah 31 miles to Heber, then to Francis (46.3), and on Ut-35 over Wolf Creek Pass and down to the North Fork of the Duchesne River (78.3), then 6 miles past Defas Dude Ranch (84.3), and 6 miles up Hades Canyon to the Grandview Trailhead a TOTAL of 90 miles from American Fork, Utah, about 105 miles from Salt Lake City.

The GRANDVIEW TRAILHEAD, located at around 9,000 ft. elevation--is one of the more picturesque."
Hells Hole Basin,main,Bear River Drainage,"174,175,176","Chapter 2: THE WILDERNESS AREA--North Slope

Section 2:

The HELL'S HOLE BASIN TRAILHEAD--unofficial HOW TO GET HERE: The take-off point to hike to Hell's Hole Basin, is 9 miles down UT150 from the Highline Trailhead, or 43.5 miles from Kamas. When you are heading north and see the sign seen below pointing west to GOLD HILL & FR-081—a little further on the right, an unmarked road takes off…….

………. as seen below in the middle Google Earth view--turn down it carefully at the end of which a trail heads east crossing Hayden Fork, continuing east until you come to a road which you follow south to a sharp turn when it ends in a gravel pit. The Trail takes off on that turn climbing south up into the Hell's Hole Basin."
Henry's Fork,main,Henrys Fork Drainage,"75,256","Chapter 2: THE WILDERNESS AREA--North Slope

Section 11: The HENRYS FORK TRAILHEAD I must add here, for those who perhaps are new to the Uintas, the HENRYS FORK TRAILHEAD is the main access point to climb Utah's highest mountain--KINGS PEAK, 13,528 ft. high. I must begin this section, with a picture of Kings Peak, and a wonderful historical note about a young 11 year old girl's climb of Kings Peak--actually her 3rd, but I think you'll agree it was AMAZING to say the least. I'll get to driving directions--next page.

:

One day in early July 2018, 11 year old Grace, and her father Jake Hirschi, decided to take advantage of the great weather and climb King's Peak, seen in the exact center of the picture. Grace zeroed in on it and then left her father in her trail dust!106

She climbed it the first time in 2016, when I met them on the trail, me returning from my successful climb to Little Andy Lake. That's when I was honored by her and her brother, Isaac, calling me their “trail buddy”….so all of us became TRAIL BUDDIES.107

I'm not sure at what time they made it to the peak, but after making it and taking a picture, they turned around and headed for the Trailhead, fueled by, I think it was 6 bags of special trail-mix, getting to their car by 8:00 PM that same day--28 miles. WOW! 106

Photos courtesy of Jake Hirschi

107

See page 75 and for Isaac's also incredible climb, as well as 7 year old Nora's, see Chapter 2, Section 22, Preface."
Hickerson Park Trail No. 022a,minor--eastern,Sheep/Carter Creek Drainages,481,"NOW TO THE DETAILS A mile or so after leaving FR-221, you come to the first two trail signs, seen below:

The sign on the left leads to areas in the Wilderness Area. The one on the right is in the Sheep/Carter Creeks area. As you will notice, access to the areas of our interest, are best from the Spirit Lake area. But to give you a complete picture, I'm showing the signs as we come to them, another of which is found 2 miles further along, seen below, that has us in the zone.

About 4 miles further we come to Spirit Lake and as we drive a mile around the eastern side, we come to another trail sign seen below.

Then, after passing the full-service Forest Service campground, we come to the main Trailhead, seeing just a little further along the gate of the Resort--with lodge, restaurant, cabins and boats for rent, but closed with the FOR SALE sign I showed in Chapter 1."
Highline Trail - Hayden Pass western end,main,Rock Creek Drainage,"5,6,27,41,160,161,162,163,164,165,166,167,168,169,170,171,172,173","Chapter 2: THE HIGH UINTAS WILDERNESS AREA59 The creation of the Wilderness Area in 1984 was reviewed in the INTRODUCTION, page 16.

Section 1 THE HIGHLINE TRAIL This trail, using terminology we have been introduced to already, is—

THE GRANDADDY OF THEM ALL! HOW TO GET HERE: It begins on the Mirror Lake Scenic Byway at Hayden Pass, 34 miles from Kamas, Utah, at an elevation of 10,382 ft. It follows the spine of the Uintas east going over 6 passes in the Wilderness Area: Rocky Sea (11,200 ft.), Deadhorse (11,600 ft.), Red Knob (11,700 ft.), Porcupine (12,256 ft.), Tungsten (11,400 ft.), Anderson (12,600); and three more a bit to the east: North Pole (12,226 ft.), Deadman (11,428 ft.), and Gabbro (11,740). Except briefly, from Deadhorse to Red Knob Passes, we are on the South Slope technically but we'll begin our GUIDE categorizing it as 59

©2018 Google LLC, used with permission. Google and the Google logo are registered trademarks of Google LLC. Highlights, new routes and labels by author

."
"Highline Trail - Leidy Peak, and area",main,Ashley Creek Drainage,"41,102,103,104","We're back to the main road, FR-018 and continue through vast meadow areas 3.3 miles and come to the junction with FR-043, the road to Leidy Peak and Hacking Lake.

We drive the 8 miles up to the junction where a very rough road goes in a short distance to Hacking Lake, but we continue up another mile to the Leidy Peak Highline Trailhead.

Along the way we see where the HIGHLINE TRAIL leaves the road and heads down from above timberline east through 26 miles of forest to reach the end of the trail we have seen near U.S. 191 close to Flaming Gorge. And there's another Trailhead that goes down to Browne Lake--do you recall? -- Where we saw the trail marked going to Leidy Peak, with the Peak in the distance. So we are getting around.

Below we are looking at the trail coming 76 miles from the Highline Trailhead on the Mirror Lake Scenic Byway."
"Highline Trail, eastern end",main,Ashley Creek Drainage,97,"ODOMETER: At the junction of UT-44 and U.S.191, from Kamas, including the Piedmont tour plus the North Slope & Sheep Creek Geological Scenic Backways, plus a loop through Manila and back to here, TOTAL OF = 363 miles. We continue on U.S. 191 and in 6 miles or so we see an almost unnoticeable trailhead sign pointing to the west-- ironically for THE MOST FAMOUS TRAILHEAD IN UTAH.

We drive in about 1/2 mile and find the real beginning--or end, of the HIGHLINE TRAIL that we saw 106 trail miles to the west on the Mirror Lake Scenic Byway. A couple of years ago the Trailhead here had one of the worst trailhead signs in all of the Uintas--but after a bit of lobbying with the Forest Service, some improvement was realized, as you can see below, the 1st photo from the left being the 2016 version, the 2nd as it is presently in 2018, and the 3rd, an enlargement of an addition seen below of the great organization that has taken charge of maintaining the trail, and with some improvement in the sign--even though I'd like this great trail to be dignified a little more, even with a register. Maybe I'll mysteriously do the favor."
Hoop Lake,main,Burnt Fork Drainage,"81,82,274","Chapter 2: THE WILDERNESS AREA--North Slope

Section 13: EAST BEAVER CREEK, HOOP LAKE & TRAILHEADS HOW TO GET HERE: From here on we'll forget the long drive on dirt/gravel, and do most of it on the pavement, 80 miles from SLC to Evanston, Wyoming, then 45 to Mt. View, and on WY-414, 22 more to Lonetree, and here I'll show you with a few photos:

Note: The picture of the store was back a few years when there were still some gas pumps. Keep your eyes open, as on my last trip just over the bridge on the left in the middle picture, I all of a sudden saw just off the road a red fox with the tip of its tail strikingly pure white. From Lonetree, drive 1.7 miles to the Hole in the Rock/Hoop Lake turnoff--now on dirt road--CR-295 that changes at border to FR-078, total of about 7 miles to a fork, the left on FR-078--3.2 miles, past Hole in the Rock, and some magnificent portals (seen on page 78), to Hoop Lake, then right crossing the dam and come to the Trailhead.

Overflow from Hoop Lake goes into the East Fork of Beaver Creek, on which there are no lakes. There are excellent Forest Service Campgrounds, with restrooms, and water available."
Lakefork/Moon Lake,main,Lake Fork Drainage,"343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366","Chapter 2: THE WILDERNESS AREA—South Slope

Section 20: The LAKE FORK TRAILHEAD & DRAINAGE140 HOW TO GET HERE: From the Provo, Utah 100 miles to Duchesne, (from Heber on U.S. 40), then north following the signs to Moon Lake--another 32 miles, for a TOTAL of 132 miles from Provo, 146.7 from Salt Lake City. The sign in Duchesne, Uintah Basin, 100 miles from the Wasatch Front.

NOTE: Remember in Duchesne there is a Forest Service Ranger Station, 85 West Main St, where you can get up-to-date information, maps, and other pamphlets and books dealing with the Ashley National Forest on the South Slope (telephone 435-738-2482). The LAKEFORK DRAINAGE, is another of the very large ones typical of the South Slope. It is divided into a number of creeks and their drainages, beginning on the east: Fish, Oweep, Lake Fork, Ottoson, East Basin, and the Brown Duck--drained also by Clements and Atwine Creeks that actually join directly the Lake Fork River that flows into Moon Lake/reservoir. MOON LAKE/Reservoir: Has Rainbow, Cutthroat, Brook, Tiger & Splake trout. I'll group them into a number of options for excellent backpacks."
Ledgefork--The Erickson Basin Trailhead,western,Weber River Drainage,"465,466,467","HOW TO GET HERE: From Kamas, Utah--40 miles east of Salt Lake City, drive north 6 miles on UT-32 to Oakley, then at an intersection in the middle of town, turn east towards SMITH & MOREHOUSE & WEBER CANYON. then at a junction 11 miles up the canyon, turn south leaving the pavement towards the Smith and Morehouse Recreation Area, and drive 3 miles to the Ledgefork Campground and Trailhead-sometimes called the Erickson Basin Trailhead where is found the sign inserted below. Total of 17.2 miles from Kamas, and 57.2 miles from Salt Lake City."
Middle Fork Beaver Creek,main,Beaver Creek Drainage,77,"We make a right hand turn towards West Beaver Creek, and in one mile pass by the West Beaver Creek Trailhead, I've inserted on the previous page, along with a photo of the main area the trail takes you too-- Gilbert Lake and Gilbert Peak. We continue on towards Hole in the Rock, passing by many beaver dams. We are now in a vast northeast area of the Uintas geologists call ""hogbacks"" one of which we get a shadowy glimpse of to the left in the previous photo. I'll insert a better shot of one below.

Below is a good view of a hogback, looking back to the west from the junction of the Middle Beaver Creek Trailhead road. The mileage included next will include the 4 mile roundtrip to the Trailhead, the sign indicating some of the areas the trail will take you to.

From the sign coming out of the Middle Fork road, to the junction of the road coming from Lonetree, and continuing to Hoops Lake, it is 1 mile. This is a good point to insert our mileages:

ODOMETER: At the junction where FR-082 meets FR-078 coming from Lonetree and continuing to Hoop Lake -- NORTH SLOPE = 80 miles, plus the complete Piedmont Tour = 257 miles. From the junction where FR-078 comes from Lonetree and the highway on the north, our North Slope Scenic Backway Tour now continues following FR-078. This is the spot where we can see HOLE IN THE ROCK, with a zoomed-in photo of it shown on the next page."
